id,date,user,department,software,seats,amount
59,27-02-2023 09:31:26,Leslie Winkle,Tech,Zapier,5,20.0
60,19-09-2022 05:13:25,Amy Farrah Fowler,Tech,Zoho Crm,4,72.0
61,12-06-2022 05:26:32,Rostenkowski,Tech,Circleci,1,9.0
62,10-11-2022 16:53:09,Dr. Beverly Hofstadter,Sales,Sentry,1,5.0
63,31-05-2022 04:59:08,Rostenkowski,Tech,Notion,1,7.0
64,26-08-2022 10:59:18,Dr. V.M. Koothrappali,Marketting,Outplay,5,60.0
65,05-01-2023 21:38:59,Amy Farrah Fowler,Tech,Circleci,3,27.0
66,26-02-2023 22:22:55,Amy Farrah Fowler,Tech,Height,2,6.0
67,11-09-2022 09:02:17,Rostenkowski,Tech,Circleci,1,9.0
68,30-10-2022 07:48:32,Wil Wheaton,Marketting,Teams,5,25.0
69,20-06-2022 09:32:44,Dr. Beverly Hofstadter,Sales,Notion,1,7.0
70,18-07-2022 08:00:16,Leonard Hofstadter,Tech,Teams,2,10.0
71,24-09-2022 13:28:10,Leslie Winkle,Tech,Teams,5,25.0
72,04-06-2022 23:35:03,Rostenkowski,Tech,Height,2,6.0
73,11-06-2022 09:52:19,Priya Koothrappali,Sales,Slack,1,10.0
74,08-04-2023 04:09:04,Amy Farrah Fowler,Tech,Teams,4,20.0
75,26-08-2022 14:32:07,Wil Wheaton,Marketting,Outplay,5,60.0
76,19-07-2022 21:49:28,Dr. Beverly Hofstadter,Sales,Zoho Crm,3,54.0
77,29-10-2022 12:54:02,Priya Koothrappali,Sales,Github,4,16.0
78,19-04-2023 06:50:20,Dr. Beverly Hofstadter,Sales,Height,3,9.0
79,13-07-2022 02:20:33,Rostenkowski,Tech,Outplay,1,12.0
80,01-07-2022 10:09:06,Emily Sweeney,HR,Height,4,12.0
81,16-07-2022 23:54:29,Amy Farrah Fowler,Tech,Zapier,1,4.0
82,19-10-2022 07:32:34,Wil Wheaton,Marketting,Outplay,1,12.0
83,19-10-2022 21:03:04,Leonard Hofstadter,Tech,Appolo,4,68.0
84,03-03-2023 03:58:07,Dr. Beverly Hofstadter,Sales,Circleci,3,27.0
85,08-04-2023 16:00:57,Bert Kibbler,Customer Success,Outplay,2,24.0
86,16-06-2022 16:45:44,Dr. V.M. Koothrappali,Marketting,Google,3,6.0
87,11-05-2022 01:35:30,Wil Wheaton,Marketting,Circleci,3,27.0
88,16-11-2022 17:02:06,Dr. Beverly Hofstadter,Sales,Teams,2,10.0
89,16-12-2022 15:44:54,Denise,HR,Figma,4,56.0
90,15-09-2022 07:27:26,Sheldon Cooper,Tech,Github,1,4.0
91,05-01-2023 18:11:51,Emily Sweeney,HR,Height,4,12.0
92,03-09-2022 09:41:58,Priya Koothrappali,Sales,Circleci,5,45.0
93,05-02-2023 10:36:46,Leslie Winkle,Tech,Google,1,2.0
94,26-12-2022 13:07:48,Wil Wheaton,Marketting,Outplay,1,12.0
95,22-07-2022 00:05:25,Emily Sweeney,HR,Height,3,9.0
96,22-05-2022 19:13:14,Wil Wheaton,Marketting,Slack,5,50.0
97,17-09-2022 11:26:46,Sheldon Cooper,Tech,Outplay,2,24.0
98,12-11-2022 17:15:41,Sheldon Cooper,Tech,Google,2,4.0
99,20-10-2022 01:58:02,Leslie Winkle,Tech,Fullstory,4,44.0
100,13-07-2022 01:25:34,Rostenkowski,Tech,Circleci,1,9.0
101,25-06-2022 10:54:39,Priya Koothrappali,Sales,Google,4,8.0
102,14-08-2022 13:18:55,Barry Kripke,Customer Success,Zoho Crm,2,36.0
103,02-05-2023 21:44:20,Barry Kripke,Customer Success,Figma,1,14.0
104,28-07-2022 14:35:44,Barry Kripke,Customer Success,Sentry,4,20.0
105,23-10-2022 14:28:36,Leonard Hofstadter,Tech,Notion,3,21.0
106,06-05-2023 04:49:48,Dr. V.M. Koothrappali,Marketting,Appolo,3,51.0
107,13-04-2023 08:26:34,Priya Koothrappali,Sales,Height,5,15.0
108,26-06-2022 22:46:07,Bert Kibbler,Customer Success,Teams,3,15.0
109,25-08-2022 16:32:23,Dr. V.M. Koothrappali,Marketting,Circleci,2,18.0
110,02-09-2022 22:03:46,Amy Farrah Fowler,Tech,Height,3,9.0
111,16-01-2023 00:49:56,Barry Kripke,Customer Success,Fullstory,3,33.0
112,24-07-2022 15:04:38,Sheldon Cooper,Tech,Height,3,9.0
113,05-11-2022 12:51:32,Leonard Hofstadter,Tech,Appolo,1,17.0
114,16-10-2022 22:41:10,Dr. V.M. Koothrappali,Marketting,Zapier,2,8.0
115,22-10-2022 22:44:12,Sheldon Cooper,Tech,Outplay,1,12.0
116,26-08-2022 11:24:05,Denise,HR,Zapier,2,8.0
117,20-01-2023 21:06:57,Barry Kripke,Customer Success,Zapier,3,12.0
118,14-12-2022 02:45:38,Leslie Winkle,Tech,Appolo,4,68.0
119,01-02-2023 00:56:03,Rostenkowski,Tech,Discord,3,3.0
120,29-10-2022 23:40:42,Amy Farrah Fowler,Tech,Teams,5,25.0
121,15-02-2023 06:59:47,Amy Farrah Fowler,Tech,Appolo,5,85.0
122,04-03-2023 08:44:05,Barry Kripke,Customer Success,Height,5,15.0
123,31-10-2022 01:16:12,Sheldon Cooper,Tech,Appolo,1,17.0
124,19-01-2023 20:29:52,Emily Sweeney,HR,Appolo,4,68.0
125,22-04-2023 10:19:43,Barry Kripke,Customer Success,Zapier,2,8.0
126,29-04-2023 17:12:06,Bert Kibbler,Customer Success,Discord,3,3.0
127,02-05-2023 18:45:17,Rostenkowski,Tech,Fullstory,4,44.0
128,12-08-2022 20:51:20,Rostenkowski,Tech,Teams,4,20.0
129,29-07-2022 01:06:08,Priya Koothrappali,Sales,Github,1,4.0
130,07-08-2022 15:29:40,Priya Koothrappali,Sales,Outplay,3,36.0
131,15-11-2022 13:00:48,Barry Kripke,Customer Success,Appolo,1,17.0
132,05-09-2022 10:04:49,Leonard Hofstadter,Tech,Notion,4,28.0
133,11-04-2023 03:23:34,Emily Sweeney,HR,Circleci,3,27.0
134,11-10-2022 09:41:28,Dr. V.M. Koothrappali,Marketting,Slack,4,40.0
135,16-01-2023 03:17:39,Barry Kripke,Customer Success,Zoho Crm,4,72.0
136,25-01-2023 01:50:25,Dr. V.M. Koothrappali,Marketting,Figma,3,42.0
137,10-06-2022 07:43:43,Denise,HR,Zapier,5,20.0
138,07-05-2023 16:37:11,Dr. Beverly Hofstadter,Sales,Outplay,2,24.0
139,01-09-2022 09:56:00,Dr. Beverly Hofstadter,Sales,Apple,1,20.0
140,01-10-2022 09:21:07,Wil Wheaton,Marketting,Zapier,1,4.0
141,03-01-2023 23:43:26,Barry Kripke,Customer Success,Apple,3,60.0
142,21-03-2023 05:45:33,Leslie Winkle,Tech,Github,4,16.0
143,02-08-2022 15:07:12,Rostenkowski,Tech,Discord,5,5.0
144,14-11-2022 10:27:04,Sheldon Cooper,Tech,Fullstory,2,22.0
145,05-12-2022 21:13:01,Rostenkowski,Tech,Figma,3,42.0
146,10-12-2022 04:35:21,Sheldon Cooper,Tech,Zoho Crm,2,36.0
147,19-08-2022 22:46:04,Leonard Hofstadter,Tech,Sentry,1,5.0
148,19-04-2023 09:27:52,Dr. V.M. Koothrappali,Marketting,Slack,4,40.0
149,27-07-2022 11:36:26,Denise,HR,Figma,3,42.0
150,21-01-2023 09:05:50,Priya Koothrappali,Sales,Zapier,5,20.0
151,06-10-2022 17:46:02,Dr. V.M. Koothrappali,Marketting,Slack,2,20.0
152,15-03-2023 17:53:37,Barry Kripke,Customer Success,Figma,2,28.0
153,30-01-2023 10:52:57,Emily Sweeney,HR,Height,1,3.0
154,08-09-2022 10:03:38,Priya Koothrappali,Sales,Apple,1,20.0
155,25-01-2023 06:35:45,Rostenkowski,Tech,Notion,2,14.0
156,12-10-2022 22:14:48,Emily Sweeney,HR,Google,5,10.0
157,01-08-2022 14:14:53,Rostenkowski,Tech,Notion,3,21.0
158,06-05-2023 13:53:55,Priya Koothrappali,Sales,Sentry,1,5.0
159,28-04-2023 02:27:46,Priya Koothrappali,Sales,Teams,2,10.0
160,20-11-2022 09:01:53,Bert Kibbler,Customer Success,Discord,5,5.0
161,26-11-2022 15:47:19,Priya Koothrappali,Sales,Discord,4,4.0
162,20-01-2023 15:34:16,Priya Koothrappali,Sales,Circleci,1,9.0
163,28-03-2023 18:53:14,Denise,HR,Height,1,3.0
164,16-07-2022 17:00:34,Dr. Beverly Hofstadter,Sales,Height,3,9.0
165,10-10-2022 18:24:06,Emily Sweeney,HR,Outplay,1,12.0
166,10-11-2022 12:06:12,Bert Kibbler,Customer Success,Teams,1,5.0
167,11-05-2022 10:47:18,Amy Farrah Fowler,Tech,Fullstory,4,44.0
168,22-02-2023 14:36:20,Emily Sweeney,HR,Discord,5,5.0
169,28-07-2022 00:36:46,Leonard Hofstadter,Tech,Discord,1,1.0
170,30-10-2022 10:19:54,Sheldon Cooper,Tech,Github,5,20.0
171,14-05-2022 13:54:55,Wil Wheaton,Marketting,Notion,5,35.0
172,21-09-2022 00:18:40,Bert Kibbler,Customer Success,Slack,1,10.0
173,09-03-2023 19:14:29,Priya Koothrappali,Sales,Zoho Crm,5,90.0
174,10-01-2023 07:50:54,Emily Sweeney,HR,Circleci,4,36.0
175,09-12-2022 04:59:00,Wil Wheaton,Marketting,Google,1,2.0
176,15-06-2022 10:04:11,Amy Farrah Fowler,Tech,Github,5,20.0
177,17-01-2023 09:10:02,Leslie Winkle,Tech,Discord,5,5.0
178,31-12-2022 10:13:37,Leslie Winkle,Tech,Appolo,1,17.0
179,24-05-2022 20:27:36,Amy Farrah Fowler,Tech,Figma,4,56.0
180,13-11-2022 12:43:56,Emily Sweeney,HR,Sentry,5,25.0
181,05-07-2022 07:08:48,Amy Farrah Fowler,Tech,Appolo,2,34.0
182,15-06-2022 02:54:28,Denise,HR,Notion,4,28.0
183,03-08-2022 00:29:57,Leslie Winkle,Tech,Fullstory,2,22.0
184,15-09-2022 20:34:45,Dr. Beverly Hofstadter,Sales,Height,1,3.0
185,10-02-2023 20:42:52,Leslie Winkle,Tech,Appolo,2,34.0
186,26-09-2022 11:47:46,Leslie Winkle,Tech,Notion,1,7.0
187,21-01-2023 05:25:20,Priya Koothrappali,Sales,Outplay,1,12.0
188,16-08-2022 14:58:22,Priya Koothrappali,Sales,Discord,4,4.0
189,03-10-2022 23:33:44,Leslie Winkle,Tech,Zoho Crm,1,18.0
190,22-04-2023 00:18:08,Amy Farrah Fowler,Tech,Teams,5,25.0
191,21-08-2022 22:06:48,Amy Farrah Fowler,Tech,Notion,1,7.0
192,19-02-2023 11:17:28,Leonard Hofstadter,Tech,Google,5,10.0
193,04-07-2022 20:33:25,Emily Sweeney,HR,Teams,1,5.0
194,24-01-2023 01:03:52,Emily Sweeney,HR,Fullstory,1,11.0
195,31-07-2022 14:15:11,Dr. V.M. Koothrappali,Marketting,Teams,3,15.0
196,22-04-2023 09:32:07,Barry Kripke,Customer Success,Notion,3,21.0
197,25-07-2022 10:45:52,Leonard Hofstadter,Tech,Notion,3,21.0
198,07-06-2022 09:36:35,Denise,HR,Sentry,2,10.0
199,18-07-2022 10:44:47,Rostenkowski,Tech,Appolo,1,17.0
200,23-12-2022 16:13:22,Dr. Beverly Hofstadter,Sales,Fullstory,3,33.0
201,12-08-2022 23:27:07,Barry Kripke,Customer Success,Notion,2,14.0
202,18-02-2023 16:43:16,Leonard Hofstadter,Tech,Height,5,15.0
203,04-11-2022 18:40:38,Priya Koothrappali,Sales,Height,5,15.0
204,02-04-2023 07:56:56,Dr. V.M. Koothrappali,Marketting,Apple,1,20.0
205,26-09-2022 00:49:00,Leslie Winkle,Tech,Circleci,3,27.0
206,31-12-2022 09:54:09,Leslie Winkle,Tech,Apple,5,100.0
207,15-03-2023 18:19:20,Wil Wheaton,Marketting,Slack,5,50.0
208,13-11-2022 01:57:13,Dr. V.M. Koothrappali,Marketting,Teams,1,5.0
209,08-12-2022 18:09:54,Priya Koothrappali,Sales,Circleci,2,18.0
210,24-10-2022 18:15:55,Barry Kripke,Customer Success,Google,5,10.0
211,31-05-2022 06:16:33,Emily Sweeney,HR,Zapier,4,16.0
212,06-09-2022 08:17:42,Amy Farrah Fowler,Tech,Teams,2,10.0
213,09-05-2023 19:27:33,Sheldon Cooper,Tech,Zapier,2,8.0
214,18-10-2022 08:25:06,Barry Kripke,Customer Success,Outplay,1,12.0
215,10-08-2022 17:31:37,Denise,HR,Apple,1,20.0
216,22-05-2022 07:16:11,Sheldon Cooper,Tech,Circleci,4,36.0
217,14-05-2022 12:39:01,Dr. V.M. Koothrappali,Marketting,Fullstory,2,22.0
218,06-11-2022 14:44:47,Leslie Winkle,Tech,Discord,3,3.0
219,06-06-2022 05:00:32,Wil Wheaton,Marketting,Google,2,4.0
220,25-09-2022 03:21:51,Emily Sweeney,HR,Slack,5,50.0
221,31-12-2022 12:05:36,Bert Kibbler,Customer Success,Zapier,2,8.0
222,10-02-2023 23:16:21,Sheldon Cooper,Tech,Appolo,4,68.0
223,13-05-2022 18:44:06,Denise,HR,Sentry,3,15.0
224,13-07-2022 19:54:30,Denise,HR,Outplay,1,12.0
225,13-12-2022 17:10:25,Leonard Hofstadter,Tech,Appolo,5,85.0
226,18-12-2022 10:32:01,Wil Wheaton,Marketting,Circleci,3,27.0
227,23-04-2023 02:12:13,Priya Koothrappali,Sales,Zoho Crm,2,36.0
228,14-05-2022 04:39:32,Leslie Winkle,Tech,Height,2,6.0
229,04-09-2022 11:58:42,Priya Koothrappali,Sales,Teams,3,15.0
230,21-12-2022 12:22:54,Wil Wheaton,Marketting,Outplay,2,24.0
231,05-12-2022 11:28:51,Rostenkowski,Tech,Teams,2,10.0
232,18-08-2022 10:33:28,Emily Sweeney,HR,Height,1,3.0
233,11-12-2022 01:25:18,Amy Farrah Fowler,Tech,Circleci,2,18.0
234,25-08-2022 21:41:22,Dr. Beverly Hofstadter,Sales,Fullstory,1,11.0
235,27-01-2023 21:51:27,Emily Sweeney,HR,Fullstory,3,33.0
236,30-01-2023 22:31:16,Leonard Hofstadter,Tech,Github,3,12.0
237,20-02-2023 02:26:15,Wil Wheaton,Marketting,Zoho Crm,5,90.0
238,10-10-2022 18:46:46,Dr. V.M. Koothrappali,Marketting,Zapier,4,16.0
239,26-10-2022 09:53:58,Emily Sweeney,HR,Sentry,4,20.0
240,18-11-2022 23:09:49,Dr. Beverly Hofstadter,Sales,Apple,5,100.0
241,30-01-2023 11:24:06,Dr. Beverly Hofstadter,Sales,Apple,2,40.0
242,21-08-2022 01:09:39,Amy Farrah Fowler,Tech,Apple,2,40.0
243,08-04-2023 09:02:47,Rostenkowski,Tech,Outplay,1,12.0
244,27-03-2023 10:50:22,Sheldon Cooper,Tech,Discord,4,4.0
245,22-03-2023 21:15:24,Rostenkowski,Tech,Fullstory,5,55.0
246,04-04-2023 03:48:58,Dr. Beverly Hofstadter,Sales,Notion,1,7.0
247,13-08-2022 21:13:57,Rostenkowski,Tech,Zoho Crm,3,54.0
248,17-09-2022 05:39:02,Emily Sweeney,HR,Figma,3,42.0
249,17-10-2022 05:48:54,Leonard Hofstadter,Tech,Discord,3,3.0
250,12-06-2022 07:48:23,Dr. V.M. Koothrappali,Marketting,Fullstory,2,22.0
251,08-06-2022 07:47:35,Dr. Beverly Hofstadter,Sales,Slack,3,30.0
252,11-01-2023 15:29:36,Leonard Hofstadter,Tech,Outplay,1,12.0
253,04-09-2022 14:23:52,Dr. V.M. Koothrappali,Marketting,Google,2,4.0
254,07-06-2022 06:09:57,Dr. Beverly Hofstadter,Sales,Figma,4,56.0
255,24-08-2022 11:41:37,Leslie Winkle,Tech,Outplay,5,60.0
256,23-05-2022 08:07:50,Leonard Hofstadter,Tech,Appolo,5,85.0
257,08-12-2022 12:03:40,Barry Kripke,Customer Success,Teams,2,10.0
258,25-07-2022 16:19:20,Amy Farrah Fowler,Tech,Zoho Crm,4,72.0
259,24-05-2022 05:37:47,Barry Kripke,Customer Success,Zapier,3,12.0
260,24-01-2023 10:40:34,Barry Kripke,Customer Success,Figma,5,70.0
261,10-04-2023 07:20:14,Dr. Beverly Hofstadter,Sales,Zoho Crm,2,36.0
262,07-05-2023 21:42:39,Dr. Beverly Hofstadter,Sales,Height,1,3.0
263,30-11-2022 15:02:51,Priya Koothrappali,Sales,Apple,1,20.0
264,31-01-2023 22:32:14,Barry Kripke,Customer Success,Apple,1,20.0
265,10-12-2022 03:00:46,Wil Wheaton,Marketting,Figma,3,42.0
266,04-10-2022 14:57:04,Priya Koothrappali,Sales,Height,4,12.0
267,05-03-2023 01:14:25,Bert Kibbler,Customer Success,Github,3,12.0
268,26-05-2022 09:05:43,Dr. Beverly Hofstadter,Sales,Google,3,6.0
269,26-01-2023 14:33:09,Sheldon Cooper,Tech,Circleci,2,18.0
270,13-11-2022 08:59:01,Bert Kibbler,Customer Success,Fullstory,4,44.0
271,22-05-2022 11:24:26,Wil Wheaton,Marketting,Google,5,10.0
272,25-10-2022 05:59:28,Leslie Winkle,Tech,Appolo,5,85.0
273,20-12-2022 17:43:24,Priya Koothrappali,Sales,Slack,5,50.0
274,20-10-2022 00:49:53,Denise,HR,Slack,1,10.0
275,22-04-2023 22:14:04,Wil Wheaton,Marketting,Appolo,4,68.0
276,07-04-2023 07:41:30,Leonard Hofstadter,Tech,Figma,5,70.0
277,16-02-2023 09:49:55,Bert Kibbler,Customer Success,Teams,1,5.0
278,14-04-2023 17:26:00,Emily Sweeney,HR,Circleci,5,45.0
279,10-05-2023 05:09:33,Leslie Winkle,Tech,Discord,3,3.0
280,24-03-2023 20:57:05,Dr. V.M. Koothrappali,Marketting,Teams,2,10.0
281,13-01-2023 13:00:40,Dr. Beverly Hofstadter,Sales,Discord,2,2.0
282,12-12-2022 13:01:05,Dr. V.M. Koothrappali,Marketting,Fullstory,1,11.0
283,14-03-2023 13:07:04,Priya Koothrappali,Sales,Appolo,3,51.0
284,06-11-2022 05:27:22,Rostenkowski,Tech,Sentry,3,15.0
285,02-08-2022 21:17:51,Sheldon Cooper,Tech,Slack,2,20.0
286,16-07-2022 11:11:21,Bert Kibbler,Customer Success,Height,4,12.0
287,22-08-2022 03:04:02,Priya Koothrappali,Sales,Height,5,15.0
288,01-11-2022 22:28:57,Sheldon Cooper,Tech,Circleci,2,18.0
289,31-07-2022 20:59:37,Sheldon Cooper,Tech,Slack,5,50.0
290,06-01-2023 12:39:32,Priya Koothrappali,Sales,Outplay,4,48.0
291,04-10-2022 20:21:29,Emily Sweeney,HR,Notion,4,28.0
292,05-08-2022 06:08:24,Dr. V.M. Koothrappali,Marketting,Appolo,3,51.0
293,09-08-2022 19:54:27,Emily Sweeney,HR,Slack,5,50.0
294,08-09-2022 19:10:49,Sheldon Cooper,Tech,Appolo,1,17.0
295,24-12-2022 19:12:07,Amy Farrah Fowler,Tech,Zapier,4,16.0
296,06-11-2022 02:15:07,Dr. Beverly Hofstadter,Sales,Height,1,3.0
297,09-02-2023 17:47:27,Priya Koothrappali,Sales,Sentry,5,25.0
298,08-06-2022 07:42:16,Rostenkowski,Tech,Figma,4,56.0
299,18-06-2022 10:56:41,Sheldon Cooper,Tech,Sentry,2,10.0
300,18-07-2022 05:47:35,Rostenkowski,Tech,Height,5,15.0
301,22-01-2023 07:02:34,Leslie Winkle,Tech,Google,5,10.0
302,25-03-2023 06:35:26,Rostenkowski,Tech,Fullstory,4,44.0
303,29-07-2022 05:19:54,Leonard Hofstadter,Tech,Notion,4,28.0
304,14-04-2023 17:43:44,Barry Kripke,Customer Success,Teams,5,25.0
305,28-08-2022 18:19:44,Wil Wheaton,Marketting,Teams,2,10.0
306,01-04-2023 03:33:39,Dr. Beverly Hofstadter,Sales,Appolo,3,51.0
307,19-07-2022 13:42:08,Dr. V.M. Koothrappali,Marketting,Apple,3,60.0
308,05-11-2022 17:47:45,Priya Koothrappali,Sales,Google,5,10.0
309,17-04-2023 15:59:02,Dr. Beverly Hofstadter,Sales,Github,3,12.0
310,26-11-2022 23:10:17,Emily Sweeney,HR,Appolo,5,85.0
311,11-04-2023 19:32:06,Leslie Winkle,Tech,Discord,5,5.0
312,08-05-2023 05:12:16,Leonard Hofstadter,Tech,Figma,1,14.0
313,07-03-2023 18:21:18,Dr. V.M. Koothrappali,Marketting,Fullstory,2,22.0
314,20-02-2023 15:36:43,Sheldon Cooper,Tech,Zapier,3,12.0
315,29-09-2022 05:55:38,Barry Kripke,Customer Success,Teams,4,20.0
316,30-09-2022 16:52:00,Barry Kripke,Customer Success,Appolo,3,51.0
317,22-06-2022 13:49:50,Barry Kripke,Customer Success,Github,4,16.0
318,05-02-2023 22:17:32,Dr. Beverly Hofstadter,Sales,Sentry,5,25.0
319,28-07-2022 05:02:10,Amy Farrah Fowler,Tech,Apple,4,80.0
320,25-07-2022 18:52:09,Sheldon Cooper,Tech,Circleci,1,9.0
321,17-10-2022 16:06:58,Emily Sweeney,HR,Zapier,2,8.0
322,16-10-2022 18:39:24,Emily Sweeney,HR,Zoho Crm,5,90.0
323,16-04-2023 10:11:02,Amy Farrah Fowler,Tech,Appolo,3,51.0
324,07-06-2022 21:56:23,Sheldon Cooper,Tech,Height,4,12.0
325,09-10-2022 11:02:20,Dr. Beverly Hofstadter,Sales,Apple,5,100.0
326,04-12-2022 05:02:13,Rostenkowski,Tech,Sentry,3,15.0
327,26-10-2022 04:14:16,Barry Kripke,Customer Success,Sentry,2,10.0
328,01-04-2023 07:01:41,Bert Kibbler,Customer Success,Notion,5,35.0
329,22-04-2023 13:59:06,Emily Sweeney,HR,Slack,2,20.0
330,15-01-2023 23:01:48,Leslie Winkle,Tech,Apple,3,60.0
331,24-01-2023 05:07:17,Denise,HR,Zoho Crm,5,90.0
332,18-07-2022 06:02:21,Amy Farrah Fowler,Tech,Discord,4,4.0
333,16-10-2022 13:07:58,Dr. V.M. Koothrappali,Marketting,Slack,5,50.0
334,28-02-2023 04:54:27,Dr. V.M. Koothrappali,Marketting,Google,3,6.0
335,14-11-2022 04:36:01,Leonard Hofstadter,Tech,Appolo,3,51.0
336,02-03-2023 20:09:49,Dr. Beverly Hofstadter,Sales,Sentry,2,10.0
337,06-11-2022 02:40:52,Rostenkowski,Tech,Circleci,1,9.0
338,08-07-2022 03:36:50,Wil Wheaton,Marketting,Zoho Crm,3,54.0
339,27-09-2022 10:20:30,Sheldon Cooper,Tech,Appolo,4,68.0
340,03-02-2023 09:52:50,Amy Farrah Fowler,Tech,Outplay,4,48.0
341,15-08-2022 09:39:54,Emily Sweeney,HR,Height,1,3.0
342,30-03-2023 05:25:14,Leonard Hofstadter,Tech,Slack,2,20.0
343,22-07-2022 15:00:34,Priya Koothrappali,Sales,Apple,3,60.0
344,09-08-2022 16:22:53,Sheldon Cooper,Tech,Apple,2,40.0
345,09-01-2023 21:12:22,Dr. Beverly Hofstadter,Sales,Sentry,1,5.0
346,17-03-2023 06:03:09,Wil Wheaton,Marketting,Figma,3,42.0
347,21-10-2022 12:49:49,Emily Sweeney,HR,Notion,3,21.0
348,24-04-2023 14:38:42,Dr. Beverly Hofstadter,Sales,Google,4,8.0
349,06-08-2022 15:17:58,Leonard Hofstadter,Tech,Google,2,4.0
